id;code;name;icon_url;description;criteria
1;now seriously before;uselessly better ha;everlasting ad;dreary until;../fake-data/blob/hipster.txt
2;decode yawningly;cone the spectate;orange bowed team;reluctantly cash;../fake-data/blob/hipster.txt
3;standard;uh-huh;unabashedly;probable taro shrill;../fake-data/blob/hipster.txt
4;unless;questioningly until achieve;svelte wholly;oof;../fake-data/blob/hipster.txt
5;sandbar tightly across;overburden gently;at because absentmindedly;famously snuggle that;../fake-data/blob/hipster.txt
6;best after and;strait seemingly;clamp;phew yum;../fake-data/blob/hipster.txt
7;provided stoop;wavy uh-huh quarrelsomely;so who;unfortunately;../fake-data/blob/hipster.txt
8;digitize birdbath;shoddy;upon blah;instead;../fake-data/blob/hipster.txt
9;loyally dishearten;dramatic;bolster;where whoa;../fake-data/blob/hipster.txt
10;meanwhile;underachieve quirkily;prestigious desk incidentally;unto;../fake-data/blob/hipster.txt
