id;name;language;created_at;description;teacher_id
1;excluding honestly devise;FRENCH;2025-11-05T09:32:47;inasmuch;1
2;colorfully diligently;FRENCH;2025-11-05T03:31:47;before;2
3;ouch lovingly;FRENCH;2025-11-05T12:21:34;so excluding;1
4;innocently;SPANISH;2025-11-05T02:04:24;ah;1
5;safe list outside;FRENCH;2025-11-05T06:12:11;once wee forage;1
6;poorly;FRENCH;2025-11-05T05:29:12;upset;2
7;now;ENGLISH;2025-11-05T14:42:01;whoa how;2
8;ice-cream plus warp;ENGLISH;2025-11-04T19:41:53;as inhibit;1
9;sedately;SPANISH;2025-11-05T15:55:38;shoulder;2
10;alongside wash gosh;ENGLISH;2025-11-05T09:18:56;emulsify gah but;2
