id;title;language;level;xp_reward;pass_threshold;created_at;description;topic_id;created_by_id
1;elegantly sweetly tomorrow;SPANISH;EASY;31308;100;2025-11-04T19:26:40;yum tired flood;1;1
2;over;ENGLISH;EASY;8199;88;2025-11-04T23:40:19;awkwardly;2;2
3;scrutinise separately;SPANISH;EASY;19860;11;2025-11-05T01:03:41;gee amid personalise;3;2
4;as zowie;ENGLISH;ADVANCED;8021;58;2025-11-05T15:26:44;sharply hovercraft;4;1
5;hourly fondly deceivingly;SPANISH;INTERMEDIATE;25696;1;2025-11-05T00:56:11;honored glossy;5;1
6;even violently;ENGLISH;EASY;3924;13;2025-11-05T05:00:44;blend furthermore gosh;6;1
7;loudly observe splash;SPANISH;ADVANCED;13380;20;2025-11-05T13:51:53;brr;7;1
8;and revitalise;FRENCH;EASY;19836;5;2025-11-05T10:35:01;new vivaciously;8;2
9;anti blissfully hunger;ENGLISH;ADVANCED;12487;99;2025-11-05T13:36:49;strange;9;2
10;helpless;ENGLISH;EASY;29918;90;2025-11-05T12:24:42;downchange;10;2
