id;assigned_at;due_date;class_room_id;lesson_id;assigned_by_id
1;2025-11-05T04:38:26;2025-11-04T18:52:28;1;1;1
2;2025-11-05T14:05:27;2025-11-05T15:43:36;2;2;2
3;2025-11-05T12:07:20;2025-11-05T06:54:44;3;3;2
4;2025-11-05T02:23:47;2025-11-05T03:23:17;4;4;1
5;2025-11-05T09:54:39;2025-11-04T21:56:24;5;5;1
6;2025-11-04T21:50:18;2025-11-05T01:37:11;6;6;1
7;2025-11-05T17:22:01;2025-11-05T02:34:40;7;7;2
8;2025-11-05T09:08:33;2025-11-05T05:15:23;8;8;1
9;2025-11-05T13:09:29;2025-11-05T06:55:14;9;9;2
10;2025-11-04T23:30:30;2025-11-05T02:03:00;10;10;2
