id;recommended_at;was_completed;reason;student_id;lesson_id
1;2025-11-05T05:07:04;true;um monthly;1;1
2;2025-11-05T03:55:46;true;keenly twine;2;2
3;2025-11-05T05:51:00;true;oh awkwardly vacation;2;3
4;2025-11-05T11:44:08;false;enrage whoever;2;4
5;2025-11-05T04:14:12;true;nautical smart;2;5
6;2025-11-05T06:44:24;true;railway tooth supposing;2;6
7;2025-11-05T08:24:35;true;small;1;7
8;2025-11-05T06:48:44;false;ridge alongside hm;1;8
9;2025-11-05T09:03:02;false;rim viciously broken;1;9
10;2025-11-05T12:15:11;false;once really;1;10
