id;status;score;xp_earned;completed_at;is_late;student_id;lesson_id
1;FAILED;87;20122;2025-11-04T17:53:23;true;1;1
2;IN_PROGRESS;6;19205;2025-11-05T07:48:52;false;2;2
3;NOT_STARTED;43;2781;2025-11-05T03:46:00;true;1;3
4;FAILED;46;2662;2025-11-05T01:05:26;false;2;4
5;NOT_STARTED;34;14557;2025-11-05T05:00:26;true;2;5
6;COMPLETED;38;12105;2025-11-05T03:25:18;false;1;6
7;NOT_STARTED;52;13158;2025-11-04T18:51:53;true;1;7
8;COMPLETED;70;27239;2025-11-05T14:45:27;true;2;8
9;NOT_STARTED;79;19615;2025-11-05T08:11:41;false;2;9
10;COMPLETED;3;8770;2025-11-04T17:25:20;true;1;10
